city,street,housenumber,apartmentnumber
Modiin,King George,20,5
Bnei Brak,HaYarkon,14,10
Bnei Brak,Eshkol,18,4
Netanya,Ben Gurion,8,10
Rehovot,Dizengoff,20,0
Herzliya,HaYarkon,6,5
Rehovot,Arlozorov,12,8
Nazareth,Bialik,3,2
Ramat Gan,Herzl,6,4
Herzliya,Rabin,5,3
Modiin,Jabotinsky,13,8
Tel Aviv,Rothschild,4,0
Beer Sheva,HaYarkon,4,0
Jerusalem,King George,8,5
Rishon LeZion,Bialik,13,1
Nazareth,Bialik,9,7
Haifa,Begin,11,4
Ashdod,Dizengoff,12,10
Rehovot,Rothschild,15,0
Modiin,Begin,17,4
Haifa,Bialik,4,5
Petah Tikva,Arlozorov,18,10
Beer Sheva,Eshkol,14,7
Haifa,Arlozorov,3,7
Beer Sheva,Allenby,19,1
Tel Aviv,Arlozorov,6,8
Herzliya,Rabin,1,7
Bnei Brak,Begin,19,3
Modiin,Rothschild,14,0
Nazareth,Begin,20,2
Beer Sheva,Sokolov,18,10
Rishon LeZion,Arlozorov,17,4
Ashdod,HaYarkon,19,0
Haifa,Herzl,3,1
Ashkelon,Ben Gurion,9,9
Ramat Gan,Allenby,2,0
Ramat Gan,Eshkol,19,7
Ashkelon,Allenby,8,9
Nazareth,Herzl,1,7
Netanya,Arlozorov,5,9
Jerusalem,HaYarkon,10,7
Beer Sheva,Jabotinsky,10,4
Petah Tikva,Eshkol,1,9
Rehovot,Bialik,3,3
Rehovot,King George,3,8
Rehovot,King George,5,3
Beer Sheva,Allenby,3,4
Kfar Saba,Bialik,14,7
Ashdod,Dizengoff,12,6
Ramat Gan,Eshkol,5,1
Tel Aviv,Bialik,4,4
Rishon LeZion,Ben Gurion,11,0
Kfar Saba,King George,5,10
Jerusalem,Herzl,7,7
Jerusalem,Arlozorov,5,10
Ashdod,Rothschild,16,9
Rishon LeZion,Rothschild,12,2
Tel Aviv,Ben Gurion,20,9
Ashdod,Jabotinsky,9,10
Nazareth,Begin,9,6
Rishon LeZion,Eshkol,1,8
Rishon LeZion,Allenby,7,9
Jerusalem,Herzl,18,2
Ashdod,Jabotinsky,14,8
Rishon LeZion,Rabin,14,6
Ramat Gan,HaYarkon,18,10
Tel Aviv,HaYarkon,12,3
Rehovot,Bialik,10,0
Ashkelon,Arlozorov,3,9
Beer Sheva,Bialik,11,10
Netanya,Bialik,17,10
Jerusalem,Rothschild,3,9
Jerusalem,King George,8,10
Beer Sheva,Dizengoff,8,10
Netanya,Herzl,3,1
Rehovot,Dizengoff,19,2
Jerusalem,Arlozorov,18,5
Ashkelon,Ben Gurion,17,10
Rehovot,Jabotinsky,16,0
Haifa,Allenby,4,9
Ashkelon,Eshkol,20,1
Kfar Saba,Eshkol,15,0
Rishon LeZion,Dizengoff,2,6
Ramat Gan,Bialik,19,10
Nazareth,Rabin,18,5
Petah Tikva,Begin,19,6
Beer Sheva,HaYarkon,14,5
Tel Aviv,Eshkol,9,9
Tel Aviv,Dizengoff,14,10
Rehovot,Herzl,15,2
Jerusalem,Sokolov,15,9
Nazareth,Begin,14,0
Herzliya,Rabin,18,6
Petah Tikva,Begin,17,7
Nazareth,Herzl,6,0
Haifa,Rabin,12,10
Ramat Gan,Dizengoff,18,1
Tel Aviv,Eshkol,11,6
Nazareth,Herzl,1,4
Petah Tikva,Jabotinsky,8,3
Nazareth,Rothschild,15,9
Haifa,Allenby,1,8
Nazareth,Rabin,19,0
Ashkelon,Rabin,2,1
Ramat Gan,King George,8,5
Rehovot,Herzl,16,1
Jerusalem,Bialik,15,4
Nazareth,Dizengoff,11,5
Herzliya,HaYarkon,11,3
Haifa,Herzl,3,8
Rehovot,Arlozorov,13,4
Netanya,Rothschild,15,10
Rehovot,Rabin,18,3
Tel Aviv,HaYarkon,11,2
Beer Sheva,Rabin,2,0
Ashkelon,King George,13,3
Bnei Brak,Allenby,1,5
Rehovot,Eshkol,7,8
Tel Aviv,Herzl,7,8
Herzliya,Jabotinsky,7,5
Tel Aviv,Bialik,15,9
Kfar Saba,Rothschild,13,0
Netanya,Bialik,11,2
Petah Tikva,Dizengoff,1,3
Netanya,Ben Gurion,6,4
Jerusalem,Bialik,11,9
Haifa,Arlozorov,19,5
Ashkelon,Allenby,18,7
Kfar Saba,Herzl,11,3
Jerusalem,King George,5,10
Tel Aviv,Bialik,13,2
Netanya,Eshkol,16,0
Haifa,Eshkol,20,4
Netanya,Dizengoff,12,10
Herzliya,Jabotinsky,3,5
Ramat Gan,Ben Gurion,1,0
Bnei Brak,Bialik,7,10
Modiin,Rothschild,14,10
Netanya,King George,17,9
Rishon LeZion,Begin,16,1
Netanya,Sokolov,18,1
Petah Tikva,Rabin,7,3
Ashkelon,Jabotinsky,1,5
Ashkelon,King George,4,6
Modiin,Jabotinsky,12,3
Petah Tikva,Sokolov,6,10
Ashdod,Bialik,7,1
Bnei Brak,Rabin,19,0
Rehovot,Eshkol,20,0
Ashdod,Ben Gurion,7,9
Petah Tikva,Begin,14,10
Netanya,Rothschild,19,7
Beer Sheva,Sokolov,5,2
Jerusalem,Jabotinsky,17,4
Rishon LeZion,Eshkol,5,9
Ramat Gan,Herzl,2,2
Petah Tikva,Bialik,15,4
Kfar Saba,Rabin,8,9
Petah Tikva,Dizengoff,20,2
Rishon LeZion,Herzl,19,0
Herzliya,Eshkol,2,5
Haifa,Allenby,9,1
Haifa,Bialik,19,3
Rishon LeZion,Rabin,18,8
Petah Tikva,King George,1,0
Rishon LeZion,Arlozorov,14,1
Jerusalem,Eshkol,17,0
Bnei Brak,King George,1,2
Rehovot,King George,15,10
Petah Tikva,Jabotinsky,5,3
Petah Tikva,Eshkol,9,6
Ashkelon,King George,15,0
Nazareth,Bialik,18,7
Jerusalem,Rothschild,8,0
Petah Tikva,Allenby,3,6
Beer Sheva,Begin,4,6
Bnei Brak,King George,9,9
Ramat Gan,Dizengoff,3,4
Bnei Brak,Ben Gurion,12,8
Rehovot,Ben Gurion,16,5
Rehovot,Ben Gurion,17,0
Rehovot,Ben Gurion,13,4
Kfar Saba,King George,13,6
Nazareth,HaYarkon,19,6
Ashkelon,Rabin,1,5
Kfar Saba,Ben Gurion,4,9
Netanya,King George,16,10
Ashkelon,Jabotinsky,16,7
Rishon LeZion,King George,19,0
Rehovot,Rabin,5,0
Kfar Saba,Dizengoff,17,3
Rehovot,Sokolov,18,10
Ashdod,Ben Gurion,3,0
Beer Sheva,Sokolov,4,2
Petah Tikva,Bialik,6,7
Rishon LeZion,Allenby,5,5
Herzliya,Allenby,2,10
Haifa,Rabin,18,2
Netanya,Eshkol,2,6
Tel Aviv,Sokolov,2,7
Ramat Gan,Allenby,13,2
Ramat Gan,Sokolov,10,5
Bnei Brak,Rabin,10,3
Kfar Saba,Arlozorov,14,5
Petah Tikva,HaYarkon,17,0
Ashdod,Eshkol,14,0
Herzliya,Dizengoff,4,10
Ashkelon,Bialik,14,2
Ashdod,Jabotinsky,8,9
Herzliya,Dizengoff,9,9
Kfar Saba,Dizengoff,20,8
Nazareth,Sokolov,14,0
Kfar Saba,Bialik,14,1
Jerusalem,Herzl,1,0
Ramat Gan,King George,16,0
Netanya,King George,11,7
Bnei Brak,Jabotinsky,16,8
Rishon LeZion,Arlozorov,17,8
Rishon LeZion,HaYarkon,15,6
Petah Tikva,Allenby,19,8
Modiin,King George,14,2
Rishon LeZion,King George,1,8
Kfar Saba,HaYarkon,19,9
Beer Sheva,HaYarkon,11,10
Ashdod,Dizengoff,9,10
Beer Sheva,Bialik,20,0
Ashdod,HaYarkon,5,6
Kfar Saba,Allenby,16,5
Ramat Gan,Ben Gurion,3,10
Kfar Saba,HaYarkon,7,0
Modiin,King George,13,10
Herzliya,Rothschild,3,3
Rishon LeZion,Rabin,12,0
Modiin,Eshkol,17,9
Rehovot,Allenby,16,0
Beer Sheva,Eshkol,8,3
Jerusalem,Ben Gurion,20,3
Bnei Brak,Rothschild,15,8
Ashkelon,Arlozorov,8,5
Beer Sheva,Eshkol,20,9
Petah Tikva,King George,4,1
Nazareth,Rabin,5,2
Ashkelon,Eshkol,10,6
Ashdod,King George,20,0
Petah Tikva,Jabotinsky,6,3
Haifa,Herzl,5,2
Beer Sheva,King George,17,6
Tel Aviv,Rabin,15,1
Herzliya,Herzl,8,0
Petah Tikva,Dizengoff,16,10
Ramat Gan,Jabotinsky,9,3
Jerusalem,Sokolov,10,6
Ramat Gan,Begin,1,4
Nazareth,HaYarkon,20,2
Beer Sheva,Rabin,18,5
Nazareth,Allenby,17,1
Beer Sheva,Herzl,15,10
Jerusalem,Sokolov,5,2
Haifa,Allenby,6,8
Jerusalem,Dizengoff,7,0
Modiin,Ben Gurion,14,1
Kfar Saba,Jabotinsky,1,1
Petah Tikva,Arlozorov,6,0
Haifa,Begin,20,9
Jerusalem,Rabin,6,3
Beer Sheva,Rabin,14,7
Bnei Brak,Begin,8,4
Nazareth,Jabotinsky,5,10
Herzliya,Jabotinsky,1,10
Kfar Saba,Allenby,9,9
Kfar Saba,Jabotinsky,8,1
Netanya,Rothschild,1,4
Beer Sheva,Dizengoff,9,3
Bnei Brak,Begin,1,4
Beer Sheva,King George,2,5
Ramat Gan,Eshkol,19,6
Ashkelon,King George,8,0
Nazareth,King George,1,3
Rishon LeZion,Sokolov,15,5
Ramat Gan,King George,18,2
Herzliya,Dizengoff,2,3
Herzliya,Eshkol,11,3
Ashkelon,Allenby,4,6
Netanya,King George,11,4
Jerusalem,Begin,19,1
Ramat Gan,Ben Gurion,20,7
Herzliya,HaYarkon,4,8
Nazareth,Allenby,19,8
Rishon LeZion,Eshkol,6,10
Haifa,Sokolov,19,9
Tel Aviv,Arlozorov,7,0
Haifa,Allenby,8,6
Petah Tikva,Arlozorov,12,4
Rishon LeZion,HaYarkon,20,7
Ashdod,Sokolov,11,4
Rehovot,Jabotinsky,5,9
Ashdod,Dizengoff,12,3
Rishon LeZion,King George,20,10
